Train Acc,Validation acc,Test Acc,N Epochs,Runtime,Train Losses,Train Aug Losses,Valid Losses
0.9924107789993286,0.9442960619926453,0.80823814868927,40,448.74091696739197,[2.476 4.083 5.841 4.941 3.232 3.880 2.977 2.162 0.591 0.373 0.211 0.180 0.147 0.093 0.078 0.114 0.079 0.071 0.078 0.049 0.042 0.036 0.048 0.081 0.050 0.035 0.027 0.027 0.021 0.028 0.044 0.034 0.029 0.023 0.022 0.023 0.031 0.012 0.014 0.018 0.008],[1.657 0.860 0.500 0.350 0.269 0.223 0.188 0.164 0.141 0.124 0.111 0.098 0.089 0.080 0.072 0.064 0.059 0.054 0.048 0.042 0.039 0.036 0.032 0.029 0.028 0.024 0.021 0.020 0.018 0.016 0.015 0.014 0.013 0.011 0.010 0.009 0.008 0.007 0.007 0.006 0.007],[2.475 4.073 5.841 4.934 3.249 3.925 3.050 2.278 0.713 0.504 0.332 0.311 0.272 0.216 0.203 0.260 0.217 0.218 0.235 0.193 0.190 0.186 0.217 0.272 0.223 0.216 0.200 0.206 0.200 0.220 0.248 0.245 0.234 0.218 0.227 0.236 0.234 0.217 0.222 0.229 0.212]
0.9800723195075989,0.9439487457275391,0.9177976250648499,38,432.8089852333069,[2.625 4.394 7.480 7.738 5.964 3.607 1.674 0.696 0.371 0.298 0.207 0.163 0.147 0.168 0.137 0.131 0.183 0.119 0.095 0.076 0.083 0.086 0.137 0.099 0.136 0.072 0.075 0.099 0.109 0.108 0.094 0.052 0.038 0.180 0.100 0.088 0.078 0.049 0.039],[1.702 0.985 0.642 0.438 0.347 0.298 0.326 0.223 0.206 0.177 0.154 0.157 0.133 0.120 0.112 0.103 0.101 0.091 0.090 0.075 0.067 0.071 0.057 0.091 0.078 0.084 0.053 0.041 0.058 0.059 0.052 0.037 0.029 0.043 0.075 0.054 0.037 0.038 0.027],[2.624 4.395 7.490 7.753 5.950 3.589 1.695 0.757 0.455 0.381 0.291 0.250 0.238 0.264 0.242 0.235 0.297 0.237 0.208 0.185 0.211 0.215 0.281 0.234 0.281 0.210 0.219 0.251 0.260 0.274 0.257 0.213 0.199 0.344 0.264 0.253 0.248 0.223 0.216]
0.9976872801780701,0.9478607773780823,0.8701680898666382,45,508.53964924812317,[2.591 3.602 4.608 3.936 5.612 7.065 5.103 2.307 0.716 0.267 0.157 0.143 0.155 0.134 0.101 0.086 0.080 0.078 0.059 0.084 0.052 0.041 0.053 0.047 0.042 0.033 0.020 0.024 0.031 0.026 0.022 0.014 0.012 0.013 0.027 0.034 0.022 0.008 0.009 0.007 0.018 0.016 0.014 0.012 0.003 0.008],[1.614 0.872 0.520 0.363 0.287 0.231 0.195 0.171 0.150 0.134 0.120 0.107 0.096 0.085 0.075 0.070 0.064 0.056 0.052 0.046 0.043 0.037 0.034 0.029 0.026 0.024 0.023 0.020 0.017 0.016 0.014 0.013 0.013 0.011 0.011 0.009 0.009 0.007 0.006 0.007 0.006 0.006 0.005 0.004 0.004 0.004],[2.592 3.595 4.598 3.906 5.483 6.875 4.977 2.321 0.805 0.368 0.255 0.257 0.272 0.263 0.230 0.216 0.216 0.223 0.196 0.247 0.205 0.201 0.222 0.221 0.213 0.212 0.191 0.209 0.223 0.224 0.212 0.195 0.194 0.202 0.240 0.253 0.244 0.205 0.212 0.210 0.253 0.249 0.237 0.243 0.208 0.231]
0.9996243715286255,0.9453134536743164,0.7850618958473206,50,560.6952781677246,[2.849 5.159 7.120 6.066 2.566 2.638 2.221 1.362 0.682 0.291 0.189 0.190 0.118 0.112 0.132 0.107 0.090 0.081 0.055 0.064 0.060 0.043 0.058 0.039 0.044 0.031 0.038 0.032 0.019 0.021 0.015 0.010 0.011 0.030 0.022 0.014 0.015 0.011 0.020 0.019 0.005 0.008 0.006 0.005 0.009 0.017 0.017 0.009 0.003 0.004 0.009],[1.762 0.972 0.605 0.404 0.312 0.249 0.215 0.181 0.160 0.143 0.124 0.110 0.100 0.090 0.081 0.072 0.066 0.060 0.055 0.048 0.044 0.039 0.035 0.033 0.029 0.025 0.024 0.020 0.018 0.017 0.015 0.014 0.013 0.011 0.011 0.010 0.009 0.008 0.007 0.006 0.006 0.006 0.005 0.005 0.005 0.006 0.005 0.004 0.003 0.004 0.005],[2.850 5.161 7.124 6.087 2.611 2.719 2.304 1.501 0.812 0.419 0.310 0.320 0.244 0.240 0.283 0.258 0.241 0.239 0.208 0.227 0.234 0.213 0.246 0.214 0.230 0.216 0.232 0.229 0.205 0.220 0.204 0.197 0.208 0.264 0.251 0.235 0.238 0.229 0.265 0.274 0.215 0.235 0.225 0.232 0.250 0.272 0.277 0.270 0.234 0.232 0.262]
0.9987303018569946,0.9514638185501099,0.8894016742706299,46,506.14563059806824,[2.485 3.834 5.926 6.881 5.217 2.878 2.221 1.393 0.673 0.339 0.154 0.172 0.106 0.105 0.082 0.068 0.073 0.063 0.057 0.050 0.062 0.047 0.050 0.035 0.038 0.046 0.022 0.018 0.026 0.026 0.027 0.017 0.011 0.020 0.019 0.017 0.008 0.009 0.011 0.006 0.011 0.011 0.008 0.022 0.014 0.006 0.004],[1.715 0.865 0.533 0.374 0.291 0.246 0.214 0.178 0.157 0.137 0.125 0.110 0.099 0.090 0.080 0.074 0.064 0.058 0.051 0.048 0.043 0.037 0.034 0.030 0.027 0.025 0.023 0.020 0.018 0.032 0.017 0.013 0.011 0.011 0.010 0.009 0.008 0.007 0.007 0.007 0.006 0.005 0.005 0.015 0.006 0.004 0.004],[2.485 3.831 5.917 6.839 5.185 2.863 2.248 1.462 0.757 0.424 0.240 0.260 0.198 0.210 0.187 0.172 0.184 0.183 0.180 0.179 0.191 0.181 0.194 0.177 0.190 0.206 0.169 0.165 0.181 0.176 0.199 0.184 0.170 0.202 0.200 0.198 0.178 0.179 0.192 0.182 0.199 0.207 0.195 0.219 0.212 0.193 0.183]
0.9998670220375061,0.956685483455658,0.8927240371704102,57,633.5792381763458,[2.609 4.513 6.937 6.368 4.351 2.037 1.546 0.866 0.412 0.251 0.209 0.131 0.122 0.108 0.118 0.090 0.093 0.080 0.093 0.061 0.061 0.069 0.045 0.051 0.037 0.221 0.043 0.069 0.029 0.035 0.043 0.036 0.025 0.028 0.023 0.011 0.013 0.012 0.007 0.010 0.008 0.013 0.023 0.016 0.008 0.012 0.011 0.004 0.011 0.005 0.008 0.005 0.004 0.006 0.010 0.022 0.005 0.006],[1.726 0.940 0.572 0.402 0.310 0.256 0.217 0.198 0.176 0.148 0.136 0.122 0.112 0.099 0.089 0.082 0.074 0.068 0.062 0.056 0.050 0.047 0.041 0.038 0.036 0.030 0.080 0.039 0.028 0.022 0.025 0.019 0.016 0.015 0.013 0.011 0.011 0.011 0.011 0.008 0.008 0.007 0.007 0.008 0.006 0.006 0.006 0.006 0.005 0.004 0.004 0.004 0.004 0.003 0.003 0.004 0.004 0.003],[2.609 4.513 6.935 6.370 4.359 2.044 1.563 0.924 0.489 0.330 0.296 0.219 0.217 0.208 0.224 0.195 0.210 0.197 0.223 0.187 0.198 0.209 0.180 0.199 0.179 0.385 0.188 0.235 0.184 0.197 0.212 0.213 0.199 0.208 0.206 0.179 0.182 0.183 0.175 0.188 0.183 0.205 0.238 0.212 0.200 0.218 0.211 0.191 0.220 0.201 0.211 0.198 0.196 0.218 0.232 0.263 0.211 0.223]
0.9974282383918762,0.9492031931877136,0.8624247908592224,48,542.3894939422607,[2.492 3.537 6.460 7.784 7.099 3.729 1.265 0.764 0.353 0.191 0.194 0.142 0.114 0.110 0.111 0.084 0.086 0.066 0.071 0.055 0.105 0.060 0.083 0.039 0.049 0.037 0.031 0.038 0.025 0.020 0.024 0.016 0.025 0.015 0.032 0.019 0.025 0.020 0.014 0.017 0.009 0.007 0.010 0.011 0.012 0.003 0.008 0.011 0.007],[1.929 1.052 0.631 0.416 0.317 0.253 0.220 0.183 0.163 0.142 0.132 0.115 0.101 0.093 0.085 0.074 0.069 0.062 0.056 0.050 0.045 0.042 0.037 0.033 0.029 0.026 0.024 0.022 0.020 0.019 0.017 0.014 0.013 0.012 0.011 0.010 0.009 0.008 0.009 0.007 0.007 0.006 0.006 0.005 0.005 0.005 0.004 0.004 0.004],[2.493 3.542 6.454 7.772 7.080 3.722 1.327 0.846 0.435 0.277 0.280 0.236 0.209 0.213 0.218 0.193 0.199 0.187 0.194 0.182 0.246 0.204 0.234 0.184 0.209 0.190 0.191 0.203 0.187 0.177 0.186 0.181 0.210 0.183 0.224 0.210 0.221 0.213 0.202 0.209 0.193 0.183 0.204 0.211 0.217 0.179 0.207 0.226 0.207]
0.9991724491119385,0.9512287974357605,0.8232550024986267,53,586.3451638221741,[2.714 3.749 5.333 6.419 5.203 2.363 1.761 1.357 0.729 0.320 0.196 0.163 0.154 0.111 0.091 0.095 0.104 0.063 0.148 0.055 0.115 0.070 0.048 0.064 0.039 0.043 0.052 0.036 0.049 0.022 0.048 0.019 0.025 0.018 0.010 0.019 0.027 0.027 0.020 0.008 0.016 0.024 0.014 0.008 0.008 0.018 0.018 0.014 0.015 0.003 0.018 0.009 0.012 0.029],[1.693 0.840 0.510 0.368 0.289 0.242 0.204 0.172 0.154 0.135 0.119 0.109 0.098 0.087 0.078 0.072 0.065 0.057 0.053 0.048 0.043 0.039 0.035 0.031 0.027 0.025 0.023 0.021 0.018 0.017 0.016 0.014 0.012 0.011 0.010 0.009 0.008 0.008 0.007 0.007 0.007 0.006 0.005 0.005 0.004 0.004 0.008 0.005 0.004 0.004 0.005 0.004 0.004 0.003],[2.711 3.744 5.326 6.404 5.189 2.366 1.811 1.437 0.824 0.409 0.286 0.261 0.260 0.217 0.199 0.212 0.231 0.188 0.298 0.187 0.273 0.222 0.197 0.228 0.198 0.210 0.224 0.201 0.233 0.188 0.237 0.197 0.209 0.198 0.182 0.211 0.233 0.232 0.222 0.190 0.223 0.238 0.224 0.205 0.211 0.237 0.233 0.231 0.234 0.197 0.239 0.225 0.236 0.287]
0.9878296852111816,0.9490983486175537,0.7463350296020508,35,393.02885842323303,[2.288 3.228 7.805 7.194 3.497 2.944 2.067 1.189 0.501 0.328 0.246 0.137 0.083 0.138 0.163 0.089 0.053 0.058 0.075 0.043 0.058 0.041 0.046 0.035 0.036 0.037 0.033 0.025 0.044 0.013 0.027 0.029 0.020 0.024 0.029 0.012],[1.576 0.791 0.483 0.348 0.263 0.216 0.180 0.158 0.135 0.121 0.111 0.098 0.086 0.079 0.072 0.067 0.060 0.051 0.047 0.042 0.039 0.034 0.031 0.029 0.025 0.023 0.022 0.018 0.019 0.016 0.014 0.013 0.012 0.011 0.009 0.009],[2.287 3.218 7.793 7.174 3.482 2.996 2.150 1.277 0.603 0.438 0.358 0.244 0.192 0.254 0.296 0.216 0.177 0.187 0.217 0.183 0.205 0.189 0.201 0.182 0.201 0.202 0.204 0.193 0.227 0.177 0.209 0.215 0.204 0.213 0.235 0.198]
0.9864662885665894,0.9429221153259277,0.8792529702186584,36,410.1243052482605,[2.505 3.766 6.072 6.039 7.170 5.274 3.199 1.084 0.344 0.198 0.132 0.144 0.115 0.097 0.106 0.101 0.113 0.059 0.056 0.075 0.067 0.059 0.039 0.049 0.041 0.044 0.047 0.025 0.030 0.028 0.015 0.014 0.033 0.025 0.010 0.015 0.010],[1.682 0.899 0.552 0.384 0.303 0.242 0.202 0.177 0.157 0.137 0.121 0.109 0.096 0.087 0.077 0.069 0.064 0.059 0.052 0.046 0.041 0.038 0.034 0.030 0.028 0.025 0.023 0.020 0.017 0.016 0.014 0.013 0.012 0.011 0.009 0.009 0.008],[2.506 3.769 6.074 6.061 7.228 5.342 3.265 1.179 0.431 0.291 0.227 0.247 0.226 0.210 0.230 0.233 0.252 0.189 0.196 0.231 0.227 0.222 0.192 0.220 0.212 0.226 0.239 0.208 0.220 0.224 0.192 0.197 0.241 0.235 0.195 0.215 0.204]
